pk_article,article_topic
1037,3
1512,"0,2"
393,0
2047,3
2061,3
279,3
2028,0
1944,"0,2"
1437,"0,1"
1315,3
725,"2,3"
2028,"3,4"
1597,3
2028,3
1413,0
1052,3
2028,3
1689,"0,1"
1052,"0,3"
2028,3
2028,3
899,0
1224,0
1052,3
1684,"1,3,4"
1683,3
1100,3
548,3
2028,3
2028,3
947,"0,3"
1683,"0,3"
1486,"0,3"
978,"0,3"
439,"0,2"
1704,"0,2"
2028,3
246,3
1401,0
246,"0,3"
246,3
1645,0
1167,0
246,"0,3"
2028,0
947,3
1116,"2,4"
840,"1,4"
1131,3
1608,3
2028,3
1361,3
2028,"0,4"
1213,0
307,"0,3"
978,"0,4"
1213,0
1213,"3,4"
822,"1,2"
822,3
822,3
1633,0
550,"0,4"
550,"0,4"
1213,0
1213,0
1116,"0,4"
822,"0,3,4"
1213,3
762,0
1161,3
822,3
1161,3
2028,"1,3"
350,"1,3"
1384,0
246,3
246,0
1213,0
1876,3
712,0
1275,"2,4"
822,3
712,3
137,3
28,3
693,3
1876,1
1876,"0,4"
509,"2,3"
712,0
712,0
1275,4
1275,3
712,3
271,0
1213,"0,3"
1275,"1,2"
1213,3
1213,4
1876,3
1590,"0,4"
1590,3
1275,3
1876,1
1275,4
1275,4
936,4
1363,"0,3"
1876,0
1876,"0,4"
1876,1
994,"0,4"
1213,0
914,"0,4"
712,"0,3"
735,"0,4"
509,4
509,4
1289,0
1924,0
145,3
446,1
1789,"2,3"
693,4
733,"0,3"
1289,0
1308,0
712,3
1213,3
1308,"0,4"
2071,"0,3"
1289,"0,4"
1289,0
1289,0
1789,0
1608,0
1275,3
446,"2,3"
712,4
1333,"0,3"
712,3
509,4
712,"0,4"
1789,0
712,"0,3"
1104,"0,2"
1289,"0,4"
137,3
1275,0
1213,3
430,0
30,"0,3"
1289,4
1789,"0,4"
120,3
2011,3
145,3
1876,3
1789,0
712,4
1275,"0,3"
1275,3
1577,"0,1"
446,4
1213,3
84,0
612,"0,3"
1789,3
840,0
1289,3
712,3
1275,0
1940,4
57,"0,3"
1696,"2,3"
1476,"0,1"
1146,3
446,3
1789,3
1315,2
1740,"2,3"
1213,0
1876,"2,3"
2028,3
1213,4
1331,2
279,0
446,0
1289,3
2028,0
1123,0
1289,"0,1"
344,3
446,"0,3"
1789,3
145,2
1290,3
303,"0,3"
1213,0
446,4
1608,3
234,3
1289,3
1789,"0,3"
84,"0,1,4"
1173,3
1627,0
1213,0
989,3
177,3
84,"3,4"
462,3
84,3
978,"0,3"
1289,3
177,"0,3"
1517,0
1517,0
463,3
779,"0,3"
1301,4
1107,4
446,4
1173,3
1842,"0,1"
243,"2,3"
1842,3
1475,3
1842,3
243,3
209,3
358,3
1842,"2,3"
1842,3
1842,3
243,3
500,3
1842,3
874,3
1577,3
1842,3
1842,3
926,3
145,0
243,3
1842,2
243,3
1891,3
1107,0
1842,0
243,3
358,3
358,"2,3"
358,3
1842,0
1001,3
84,0
1020,"2,3"
2028,0
1213,3
1213,0
1842,0
84,3
1842,"0,2"
1213,0
2014,0
1561,1
2014,3
1561,0
2014,3
1561,0
1561,"0,3"
2014,0
538,0
1110,0
2014,0
1842,0
1515,0
2014,0
1561,0
538,"0,2"
538,0
1561,4
2014,3
84,0
2014,0
1161,3
1840,3
446,0
84,0
1195,3
2014,0
1114,0
1517,0
1361,0
84,3
2014,0
814,3
538,0
538,3
441,0
2014,"0,4"
1517,3
2014,"0,3"
538,0
822,3
489,3
1116,0
1275,0
957,0
957,"0,2"
328,"0,2"
957,3
952,0
1188,"0,1"
957,3
1289,0
228,0
1141,2
1275,3
2014,"0,2"
1393,3
957,"0,2"
209,"0,2"
778,"0,2"
854,3
952,3
952,3
957,0
1213,"2,3"
957,3
1393,4
957,0
1393,3
952,"0,2,3"
130,3
2069,0
1789,"0,1"
636,"0,1"
2069,0
2069,0
636,"0,2"
1670,0
636,3
696,3
696,3
2069,0
636,"0,2"
2087,"0,2"
2069,3
957,0
636,3
177,3
1898,"0,2"
262,3
1213,0
696,3
696,"0,2,4"
2069,3
2069,3
2069,0
1670,1
735,"2,3"
2069,0
621,"2,3"
1670,0
2069,3
954,"0,2"
2014,0
636,3
1150,0
1150,3
636,3
636,3
571,3
1891,"2,3"
1561,"2,3"
2069,"0,3"
1703,3
1670,"0,3"
696,0
696,"0,3"
2069,4
957,3
2069,3
1213,"0,3"
696,"0,3"
2069,0
636,"0,3"
1213,"0,3"
1255,"0,3"
952,0
454,"2,3"
1213,4
2069,"0,3"
1116,"0,3"
1504,"0,3"
1046,0
636,"0,3"
901,"2,3,4"
636,"0,1,4"
2069,3
696,"0,4"
957,3
2069,0
1541,3
2069,"0,3"
2069,"0,1,4"
2069,0
2069,0
22,"0,3"
84,3
1922,4
387,4
1922,"0,3"
510,"2,3"
1922,"0,2"
387,"1,2"
2069,3
1922,2
1922,"0,3"
510,2
1922,"0,3"
1922,"1,3"
1922,"0,3"
957,"0,2"
84,"0,3"
1099,"1,3"
503,3
1922,0
1922,3
636,"0,3"
1922,"0,3"
677,"0,3"
500,"2,3"
978,"0,3"
794,0
387,0
1772,"0,3"
1922,3
500,3
510,2
510,3
1922,3
387,"0,3"
1099,0
1099,"0,3"
1922,"0,3"
735,4
814,0
813,"0,2"
732,"0,3"
693,3
2028,3
95,"0,3"
1533,"0,2"
95,"2,4"
394,0
19,"1,2"
1533,"0,2"
223,3
1533,"0,4"
1728,"0,4"
778,"0,4"
929,"1,2"
394,0
394,"2,3"
1533,3
84,"3,4"
1789,"3,4"
957,0
1735,0
394,"2,3"
1608,0
394,"3,4"
1213,"0,3"
840,3
95,3
387,"0,3"
1308,1
1922,3
1735,3
394,4
394,"2,3"
889,0
1116,0
1461,3
394,3
344,0
344,3
394,"0,3"
1461,0
2015,0
188,0
945,3
1461,3
1179,"0,3"
1179,0
1179,"0,3"
945,0
606,3
1735,"0,3"
433,3
84,"0,3"
2030,"0,3"
1102,"2,3,4"
1102,0
361,"0,3"
